"ORDER_SEQID","C_CODE","SHORT_NAME","PO_NO_TYPE","PO_NO","C_PART_NO","PART_NO","PN_DESC","C_PRICE","IS_TAX","TAX_RATE","SPEC_DESC","COMM_DESC","AMOUNT","MONEY","DELIVERY_AMOUNT","COMM_DELIVERY_AMOUNT","SELF_DELIVERY_AMOUNT","LOCK_AMOUNT","SELF_LOCK_AMOUNT","COMM_LOCK_AMOUNT","ORG_DELIVERY_DATE","PRE_DELIVERY_DATE","VER_DELIVERY_DATE","PERIOD","RLT_ORDER_PO_NO","VENDOR_CODE","STATE","ACTIVE_STATE","RLT_SEND_PO_NO","DELIVERY_HOUSE_TYPE","SETTLEMENT_TYPE","STAFF_ID","STAFF_NAME","SALES_ID","SALES","CONTACT_FEE","C_PRICE_TAX","ORDERAMOUNT"
114,"GC0013","创力仕实业","0","1005216","FSMR-DLW21SN181S","DLW21SN181SQ2L","0805 180 OHM",0.77,"1",0.17,"",NULL,8000,6160,0,0,0,0,0,0,"2010-07-02",NULL,NULL,"201008","P10031786","GV0012","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,8000
115,"GC0016","飞歌汽车音响","0","FA-PO-20100521051","DZ03V0022R0","GCRH74-102M","74 1000UH +/-20%",0.74,"1",0.17,"",NULL,15000,11100,0,0,0,0,0,0,"2010-11-02",NULL,NULL,"201008","P10031812","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,15000
116,"GC0050","鸿莱克斯","0","100605","15010002","GCD43-471M","43 470UH +/-20%",0.25,"0",0,"",NULL,32000,8000,0,0,0,0,0,0,"2010-08-09",NULL,NULL,"201008","P10031856","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","6","蒋忠旭",0,0,32000
117,"GC0104","杰信","0","100540-3080-11","KV1471E","KV1471E","TOKO",0.06,"0",0,"",NULL,24000,1440,0,0,0,0,0,0,"2010-05-04",NULL,NULL,"201008","P10031877RVE.01","GV0015","20","ACTIVE",NULL,"1","1","8","谢冰冰","8","谢冰冰",0,0,24000
118,"GC0096","长沙世邦","0","10061002","16RHBP-150M","16RHBP-150M","TOKO",5.5,"0",0,"",NULL,2000,11000,0,0,0,0,0,0,"2010-08-01",NULL,NULL,"201008","P10031877RVE.01","GV0015","20","ACTIVE",NULL,"1","2","8","谢冰冰","5","周石富 ",0,0,2000
119,"GC0007","七蒙电子","0","GH20100207","#919AS-1R8N=P3","#919AS-1R8N=P3","TOKO",2.2,"1",0.17,"",NULL,1500,3300,0,0,0,0,0,0,"2010-08-09",NULL,NULL,"201008","P10031877RVE.02","GV0013","20","ACTIVE",NULL,"1","2","8","谢冰冰","8","谢冰冰",0,0.17,1500
120,"GC0115","科翔","0","100707002","ELJPC100KF","ELJPC100KF-G","2520 10UH +/-10%低内阻",0.01932,"0",0,"",NULL,30000,579.6,0,0,0,0,0,0,"2010-08-28",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0,30000
121,"GC0115","科翔","0","100803002","ELJFC680KF","ELJFC680KF-G","2520 68UH +/-10%",0.01932,"0",0,"",NULL,2000,38.64,0,0,0,0,0,0,"2010-09-25",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0,2000
122,"GC0115","科翔","0","100803002","ELJPC100KF","ELJPC100KF-G","2520 10UH +/-10%低内阻",0.01932,"0",0,"",NULL,60000,1159.2,0,0,0,0,0,0,"2010-09-25",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0,60000
123,"GC0064","保千里","0","2010080502","2520 10UH","ELJPC100KF-G","2520 10UH +/-10%低内阻",0.19,"0",0,"",NULL,30000,5700,0,0,0,0,0,0,"2010-08-09",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","6","蒋忠旭",0,0,30000
124,"GC0009","海比克","0","10070201","ELJPA680KF","ELJPA680KF-G","3225 68UH +/-10%低内阻",0.18,"0",0,"",NULL,14000,2520,0,0,0,0,0,0,"2010-08-15",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0,14000
125,"GC0012","东日信博","0","11004121411","4532-10UH","ELJPB100KF-G","4532 10UH +/-10%低内阻",0.55,"1",0.17,"",NULL,13500,7425,0,0,0,0,0,0,"2010-08-10",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,13500
126,"GC0014","罡扇广联","0","GH20100165","2520 22UH","ELJFC220JF-G","2520 22UH +/-5%",0.16,"0",0,"",NULL,100000,16000,0,0,0,0,0,0,"2010-08-10",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0,100000
127,"GC0014","罡扇广联","0","GH20100217","2520 22UH","ELJFC220JF-G","2520 22UH +/-5%",0.16,"0",0,"",NULL,200000,32000,0,0,0,0,0,0,"2010-08-10",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0,200000
128,"GC0006","喜恩碧","0","PO1005-055","LC00039CK2","ELJFC390KF-G","2520 39UH +/-10%",0.21067371,"1",0.17,"",NULL,10000,2106.7371,0,0,0,0,0,0,"2010-06-15",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,10000
129,"GC0006","喜恩碧","0","PO1005-055","LC002R2CM2","ELJPC2R2MF-G","2520 2.2UH +/-20%低内阻",0.21067371,"1",0.17,"",NULL,26000,5477.5165,0,0,0,0,0,0,"2010-06-15",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,26000
