"ORDER_SEQID","C_CODE","SHORT_NAME","PO_NO_TYPE","PO_NO","C_PART_NO","PART_NO","PN_DESC","C_PRICE","IS_TAX","TAX_RATE","SPEC_DESC","COMM_DESC","AMOUNT","MONEY","DELIVERY_AMOUNT","PERIOD","ORG_DELIVERY_DATE","VER_DELIVERY_DATE","RLT_ORDER_PO_NO","STATE","ACTIVE_STATE","RLT_REC_PO_NO","STAFF_ID","STAFF_NAME","SETTLEMENT_TYPE","CUST_C_CODE","C_PRICE_TAX","HASTEN_REMINDER"
192,"GV0011","高雅","0","P10032433","CCFH0603CR33J","LLQ1608-FR33J","0603绕线电感 330NH 5% 电气性能、包装及编带和TOKO P/N:LLQ1608-FR33J一致",0.025,"0",0,"",NULL,120000,3000,0,"201008","2010-12-01",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","3","GC0013",0,NULL
193,"GV0011","高雅","0","P10032433","CCFH0603CR33J","LLQ1608-FR33J","0603绕线电感 330NH 5% 电气性能、包装及编带和TOKO P/N:LLQ1608-FR33J一致",0.025,"0",0,"",NULL,100000,2500,0,"201008","2010-01-03",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","3","GC0013",0,NULL
194,"GV0012","威雅利","0","P10032448","DLW21SN181SQ2L","DLW21SN181SQ2L","0805 180 OHM",0.068,"0",0,"",NULL,70000,4760,0,"201008","2010-12-01",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","3","GC0013",0,NULL
195,"GV0012","威雅利","0","P10032448","DLW21SN181SQ2L","DLW21SN181SQ2L","0805 180 OHM",0.068,"0",0,"",NULL,70000,4760,0,"201008","2010-01-03",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","3","GC0013",0,NULL
196,"GV0012","威雅利","0","P10032448","DLW21SN181SQ2L","DLW21SN181SQ2L","0805 180 OHM",0.068,"0",0,"",NULL,60000,4080,0,"201008","2010-02-09",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","3","GC0013",0,NULL
197,"GV0012","威雅利","0","P10032448","DLW21SN181SQ2L","DLW21SN181SQ2L","0805 180 OHM",0.068,"0",0,"",NULL,50000,3400,0,"201008","2010-03-01",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","3","GC0013",0,NULL
198,"GV0028","华龙东光RMB","0","P10032459","A7503CY-330M","A7503CY-330M","TOKO",0.65,"1",0.17,"",NULL,71000,46150,0,"201008","2010-12-01",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0.17,NULL
199,"GV0028","华龙东光RMB","0","P10032459","A7503CY-330M","A7503CY-330M","TOKO",0.65,"1",0.17,"",NULL,70000,45500,0,"201008","2010-01-03",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0.17,NULL
200,"GV0028","华龙东光RMB","0","P10032459","A7503CY-330M","A7503CY-330M","TOKO",0.65,"1",0.17,"",NULL,60000,39000,0,"201008","2010-02-09",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0.17,NULL
201,"GV0028","华龙东光RMB","0","P10032459","A7503CY-330M","A7503CY-330M","TOKO",0.65,"1",0.17,"",NULL,50000,32500,0,"201008","2010-03-01",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0.17,NULL
